parameter,count,mean,std,min,25%,50%,75%,max,IQR,95%CI,95%CI/|mean|,range
d_T1_3,8.0,0.7585774993750001,0.05549916151724018,0.656880005,0.7341650085,0.7695150150000001,0.7930124964999999,0.829539978,0.05884748799999995,0.038458956789827844,0.05069878400231299,0.17265997300000002
d_dkhe,8.0,0.331204097118352,0.3788236849387926,-0.07111914054202882,0.06803448088806466,0.2726889219798049,0.4471891230527518,1.1080561145817345,0.3791546421646872,0.2625114205644105,0.7925971413047014,1.1791752551237633
d_dose_1,8.0,0.021875000000000002,0.0057863756235784465,0.0125,0.021875000000000002,0.025,0.025,0.025,0.0031249999999999993,0.004009753733086359,0.18330302779823357,0.0125
d_dose_2,8.0,0.021875000000000002,0.0057863756235784465,0.0125,0.021875000000000002,0.025,0.025,0.025,0.0031249999999999993,0.004009753733086359,0.18330302779823357,0.0125
d_kbh,8.0,0.00011622094237016866,7.467258936508825e-05,2.955707033830975e-05,6.337856282103964e-05,0.00010123846473009995,0.00015124067537500868,0.00024922922041229633,8.786211255396904e-05,5.174546442263612e-05,0.4452335643418258,0.00021967215007398657
d_khe,8.0,0.0001395783585528215,6.260507553217192e-05,7.061174965534247e-05,0.00010427828835584611,0.00012067751475370372,0.00016157323486895315,0.0002720602441229638,5.729494651310704e-05,4.338310397658487e-05,0.31081540452538803,0.00020144849446762132
d_khe_f,8.0,0.00017425712045465117,5.916303440189254e-05,0.00010917389193133306,0.00014379605442893205,0.00015491288062018642,0.00019094734465992447,0.00029347993794248244,4.715129023099242e-05,4.099789116472818e-05,0.23527240125259333,0.0001843060460111494
d_khe_i,8.0,0.0001395783585528215,6.260507553217192e-05,7.061174965534247e-05,0.00010427828835584611,0.00012067751475370372,0.00016157323486895315,0.0002720602441229638,5.729494651310704e-05,4.338310397658487e-05,0.31081540452538803,0.00020144849446762132
d_t_scan2,8.0,7509.952499999999,946.0722387543718,6295.337000000014,6799.409249999999,7446.497499999998,8129.340874999998,8916.8975,1329.9316249999993,655.5946136052436,0.08729677233048326,2621.560499999985
d_tmax,8.0,10930.67406249998,809.0086488014827,9826.529999999964,10408.57312499999,10955.566249999987,11428.929999999977,12208.857499999978,1020.3568749999868,560.6143915739725,0.05128818116508298,2382.327500000014
d_vol,8.0,957.2935407375,173.13021226286503,705.7617188,846.9360351500001,931.97021485,1110.6903075,1199.815611,263.75427234999995,119.97311617695146,0.12532531670956856,494.05389219999995
dose_tolerance,8.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
dt,8.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
field_strength,8.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
r_CL,8.0,-0.9286727564322151,0.029139019285253063,-0.961815289937209,-0.94634697063065,-0.9319474999613693,-0.9213746649196826,-0.8679314877346876,0.024972305710967424,0.02019231017105346,0.021743192132208652,0.09388380220252135
r_kbh,8.0,-0.6488615278128129,0.2741951143028629,-0.888249332862364,-0.8260572278178809,-0.7282215173538795,-0.5852577846322298,-0.06155183122659452,0.24079944318565116,0.19000752019793934,0.29283215609718466,0.8266975016357694
r_khe,8.0,-0.9324181317468082,0.024391085125711327,-0.9629576160851001,-0.9424384347836237,-0.9351811685738669,-0.9274351622562444,-0.8809907763766768,0.015003272527379208,0.016902159659031035,0.0181272318539819,0.08196683970842333
rate,8.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ve,8.0,0.20145881273117905,0.04315987970015722,0.15347503838111778,0.17242347432638586,0.20129337890693197,0.21378989160799047,0.2882007686556611,0.04136641728160462,0.029908270738953247,0.14845848803279704,0.1347257302745433
