parameter,count,mean,std,min,25%,50%,75%,max,IQR,95%CI,95%CI/|mean|,range
To_e,3.0,381.94401480847563,181.69857026137026,202.93500240515837,289.80716361971827,376.6793248342782,471.4485210101342,566.2177171859902,181.64135739041592,205.6112881654736,0.5383283418345398,363.28271478083184
a_CL,3.0,-0.26334974245486703,0.2931642529410993,-0.5258981641862557,-0.42151592965026136,-0.31713369511426703,-0.13207553158917273,0.05298263193592155,0.2894403980610886,0.3317465822905457,1.259718650939636,0.5788807961221772
a_kbh,3.0,-3.337861564621791e-05,0.0002248351352626645,-0.00024245743166658164,-0.0001522917262404509,-6.212602081432018e-05,7.116079236396395e-05,0.0002044476055422481,0.00022345251860441485,0.00025442490669968316,7.6223924142435715,0.0004469050372088297
a_khe,3.0,-0.00023862553074715352,0.00026194218319023434,-0.0004501647694572738,-0.00038512133096388703,-0.00032007789247050027,-0.00013285591139209341,5.436606968631344e-05,0.00025226541957179365,0.0002964154843549201,1.2421784183227258,0.0005045308391435873
c_B1corr_a,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
c_B1corr_l,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
c_BAT,3.0,74.49866675183976,6.341966837628267,67.89716781493634,71.47573034239456,75.05429286985277,77.79941622029148,80.5445395707302,6.323685877896921,7.176611071356866,0.09633207390492847,12.647371755793856
c_CL,3.0,0.5229441483085818,0.48453357920143714,0.10041376909266166,0.2585083353748254,0.4166029016569892,0.734209337916542,1.0518157741760947,0.47570100254171654,0.5483013610713907,1.0484893326463727,0.9514020050834331
c_R10_a,3.0,0.525868466913289,0.009104704298944446,0.5154001593380209,0.5228311095317604,0.5302620597254998,0.5311026207009231,0.5319431816763465,0.008271511169162693,0.010302942816659536,0.01959224305107155,0.016543022338325608
c_R10_l,3.0,1.0259757615550307,0.1135667295162019,0.9223220626324361,0.965279672040922,1.0082372814494078,1.0778026110163281,1.1473679405832484,0.1125229389754061,0.1285128524400426,0.1252591506111809,0.22504587795081232
c_R20s_a,3.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
c_R20s_l,3.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
c_S0_a,3.0,156152529.39771906,16979902.11388062,138377873.03072152,148125456.6956751,157873040.3606287,165039857.58121783,172206674.80180696,16914400.88554272,19214568.070274446,0.12304999569577972,33828801.77108544
c_S0_l,3.0,92155997.36364317,12274262.34502449,83436459.01742959,85137860.13832211,86839261.25921464,96515766.53674997,106192271.81428531,11377906.398427859,13889635.391247796,0.1507187354984609,22755812.796855718
c_T1_1,3.0,0.9825366619999999,0.10663414492767881,0.871559998,0.9316950074999999,0.991830017,1.038024994,1.084219971,0.10632998650000003,0.12066789446644982,0.12281261263149673,0.21265997300000006
c_T1_2,3.0,0.7934800006666668,0.11973903488616677,0.655630005,0.754394989,0.853159973,0.8624049985,0.871650024,0.10801000949999995,0.1354974734871074,0.1707635647694523,0.216020019
c_T1_3,3.0,0.807050008,0.13949123479953884,0.648580017,0.754950012,0.861320007,0.8862850035000001,0.91125,0.13133499150000005,0.1578491918437698,0.19558786974669085,0.262669983
c_dose,3.0,0.025000000000000005,4.2491873609703695e-18,0.025,0.025,0.025,0.025,0.025,0.0,4.808408154719061e-18,1.923363261887624e-16,0.0
c_kbh,3.0,0.0003035009112551114,8.108003882052193e-05,0.00024268104834555322,0.0002574751696537913,0.0002722692909620293,0.00033391084270989056,0.00039555239445775175,7.643567305609927e-05,9.175070118830995e-05,0.302307827705953,0.00015287134611219853
c_khe,3.0,0.0004539166696919325,0.00035192534460723365,0.00012109782256248836,0.0002697476580017687,0.0004183974934410491,0.0006203260932566546,0.0008222546930722601,0.0003505784352548859,0.0003982410171895308,0.8773438910269851,0.0007011568705097718
c_tmax,3.0,1340.7549466666667,16.557385911460898,1330.31875,1331.209375,1332.1,1345.9730450000002,1359.8460900000005,14.763670000000275,18.736445977594595,0.013974549207650828,29.52734000000055
c_vol,3.0,1034.6970591333331,227.51386488410435,829.1954964,912.4531466999999,995.710797,1137.4478405,1279.184884,224.99469380000005,257.4561746250112,0.2488227567213322,449.9893876
d_B1corr_a,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
d_B1corr_l,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
d_BAT,3.0,70.97224243548546,4.342941004464361,65.96979408316642,69.56933997505453,73.16888586694266,73.47346661164497,73.77804735634726,3.9041266365904335,4.914500389684239,0.06924538694337541,7.8082532731808385
