Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,cohen
parameter,d_BAT,d_S0_a,True,True,-8.055852952399107,5.0,two-sided,0.00047708035523689297,70.969,-4.652051853955827
parameter,d_BAT,d_S0_l,True,True,-13.36305726128273,5.0,two-sided,4.1982073046753087e-05,476.462,-7.711909115915239
parameter,d_BAT,d_T1_1,True,True,44.25519282667299,5.0,two-sided,1.1120127228094189e-07,5.341e+04,25.484911334565613
parameter,d_BAT,d_T1_2,True,True,44.41852944201101,5.0,two-sided,1.0917607062169059e-07,5.42e+04,25.531214731370287
parameter,d_BAT,d_T1_3,True,True,44.60043392749731,5.0,two-sided,1.0697248196441116e-07,5.509e+04,25.526536559561094
parameter,d_BAT,d_dose,True,True,44.57795440234675,5.0,two-sided,1.0724189029207432e-07,5.497e+04,25.737093974117762
parameter,d_BAT,d_kbh,True,True,44.59302123776959,5.0,two-sided,1.0706123034285635e-07,5.505e+04,25.745708588412292
parameter,d_BAT,d_khe,True,True,44.59272485481625,5.0,two-sided,1.0706478062173298e-07,5.505e+04,25.74553573515278
parameter,d_BAT,d_tmax,True,True,-1136.2204556851457,5.0,two-sided,1.0022757869703988e-14,3.644e+06,-670.3589495121319
parameter,d_BAT,d_vol,True,True,-13.880294230757674,5.0,two-sided,3.4870407775874505e-05,551.627,-8.012426840946917
parameter,d_BAT,dose_tolerance,True,True,44.53310973487712,5.0,two-sided,1.0778177156192286e-07,5.475e+04,25.711202893282454
parameter,d_BAT,dt,True,True,44.53310973487712,5.0,two-sided,1.0778177156192286e-07,5.475e+04,25.711202893282454
parameter,d_BAT,field_strength,True,True,42.79911592605135,5.0,two-sided,1.3139927323567602e-07,4.674e+04,24.710081100983746
parameter,d_BAT,r_CL,True,True,44.73103397678701,5.0,two-sided,1.0542325310055473e-07,5.573e+04,26.00985563704277
parameter,d_BAT,r_kbh,True,True,45.027287215586895,5.0,two-sided,1.020076198931675e-07,5.722e+04,25.9948714316309
parameter,d_BAT,r_khe,True,True,44.81171817663947,5.0,two-sided,1.0447959152457074e-07,5.613e+04,26.0105040622835
parameter,d_BAT,rate,True,True,43.994973725241536,5.0,two-sided,1.1452162752945472e-07,5.217e+04,25.400509923258717
parameter,d_BAT,ve,True,True,44.509335420031675,5.0,two-sided,1.0806931084140391e-07,5.464e+04,25.655438859935845
parameter,d_BAT,vh,True,True,44.130203969278114,5.0,two-sided,1.127814893426322e-07,5.281e+04,25.554164644134048
parameter,d_BAT,weight,True,True,0.7781912000188789,5.0,two-sided,0.4716573744787349,0.474,0.5748910312851523
parameter,d_CL,d_R10_a,True,True,-0.35065967178917273,5.0,two-sided,0.7401339074777964,0.393,-0.20245345590142472
parameter,d_CL,d_R10_l,True,True,-10.066779882944669,5.0,two-sided,0.00016557592050191587,162.023,-4.3740098936233345
parameter,d_CL,d_R20s_a,True,True,-184.67762999807542,5.0,two-sided,8.832750761925127e-11,1.608e+07,-106.62367939269103
parameter,d_CL,d_R20s_l,True,True,-184.67762999807542,5.0,two-sided,8.832750761925127e-11,1.608e+07,-106.62367939269103
parameter,d_CL,d_S0_a,True,True,-8.091951190375566,5.0,two-sided,0.00046717235098320075,72.136,-4.671706020610724
parameter,d_CL,d_S0_l,True,True,-13.464282763704336,5.0,two-sided,4.046290134189651e-05,490.52,-7.7727449376291675
parameter,d_CL,d_T1_1,True,True,-2.0631928242006996,5.0,two-sided,0.09405038736484149,1.327,-1.3337523303352463
parameter,d_CL,d_T1_2,True,True,-0.8246977982944219,5.0,two-sided,0.44708692330218747,0.488,-0.5600417066761246
parameter,d_CL,d_T1_3,True,True,-0.9257859103522625,5.0,two-sided,0.3970430268142297,0.52,-0.6142112623593196
parameter,d_CL,d_dose,True,True,4.558422447613927,5.0,two-sided,0.006065641736967059,10.067,2.6318064272099333
parameter,d_CL,d_kbh,True,True,4.795128489968875,5.0,two-sided,0.004904675384128164,11.829,2.768297209602728
parameter,d_CL,d_khe,True,True,4.793832441180716,5.0,two-sided,0.00491028617666407,11.818,2.7655581452567293
parameter,d_CL,d_tmax,True,True,-2046.1772179870395,5.0,two-sided,5.291594125258312e-16,3.684e+06,-1173.8358270022447
parameter,d_CL,d_vol,True,True,-15.1472766255974,5.0,two-sided,2.2728016370197495e-05,773.666,-8.733576105392423
parameter,d_CL,dose_tolerance,True,True,3.8478990967540163,5.0,two-sided,0.012026761714836262,6.006,2.2215855793254495
parameter,d_CL,dt,True,True,3.8478990967540163,5.0,two-sided,0.012026761714836262,6.006,2.2215855793254495
parameter,d_CL,field_strength,True,True,-23.62567046982918,5.0,two-sided,2.5297795556469277e-06,4418.94,-13.640287205541274
parameter,d_CL,r_CL,True,True,13.277067049721156,5.0,two-sided,4.332640463436471e-05,464.761,6.738306362777769
parameter,d_CL,r_kbh,True,True,10.50698204376321,5.0,two-sided,0.00013479135942870923,190.356,5.761841957359769
parameter,d_CL,r_khe,True,True,13.201921564982085,5.0,two-sided,4.4543505964283454e-05,454.716,6.7530815850949795
parameter,d_CL,rate,True,True,-4.678381113564907,5.0,two-sided,0.005441481367704127,10.932,-2.701064595288361
parameter,d_CL,ve,True,True,2.466868973001224,5.0,two-sided,0.056747889416178386,1.905,1.3438565110141543
parameter,d_CL,vh,True,True,-0.23840845735850938,5.0,two-sided,0.8210270060124147,0.382,-0.14971952057450097
parameter,d_CL,weight,True,True,-18.80790613948542,5.0,two-sided,7.825940434105932e-06,1800.819,-10.802414230652234
parameter,d_R10_a,d_R10_l,True,True,-29.19877422450586,5.0,two-sided,8.831579642628075e-07,1.022e+04,-16.857920158525566
parameter,d_R10_a,d_R20s_a,True,True,-inf,5.0,two-sided,0.0,nan,-inf
parameter,d_R10_a,d_R20s_l,True,True,-inf,5.0,two-sided,0.0,nan,-inf
parameter,d_R10_a,d_S0_a,True,True,-8.091615185601103,5.0,two-sided,0.00046726344249653327,72.125,-4.67169620558566
parameter,d_R10_a,d_S0_l,True,True,-13.462736662859854,5.0,two-sided,4.04856057545655e-05,490.303,-7.77271463633118
parameter,d_R10_a,d_T1_1,True,True,-13.859125125405756,5.0,two-sided,3.513170947686036e-05,548.385,-8.001569621885716
parameter,d_R10_a,d_T1_2,True,True,-2.553671226041714,5.0,two-sided,0.051037678733061774,2.058,-1.4743627697769848
parameter,d_R10_a,d_T1_3,True,True,-2.6485231277115804,5.0,two-sided,0.045507174487048586,2.237,-1.5291255407392301
parameter,d_R10_a,d_dose,True,True,inf,5.0,two-sided,0.0,nan,1.9281789106862285e+17
parameter,d_R10_a,d_kbh,True,True,27998.84861376054,5.0,two-sided,1.1030697983233262e-21,3.703e+06,16165.14278416808
parameter,d_R10_a,d_khe,True,True,6302.0050575345085,5.0,two-sided,1.9094575495723425e-18,3.701e+06,3638.464316401731
