parameter,count,mean,std,min,25%,50%,75%,max,IQR,95%CI,95%CI/|mean|,range
d_tmax,3.0,7831.364316666666,219.07930572804057,7642.271869999999,7711.326554999998,7780.381239999997,7925.910539999999,8071.439840000001,214.58398500000112,247.91157242648268,0.03165624307617494,429.16797000000224
d_vol,3.0,1099.7804406,280.17654082622465,874.2334338,942.9629854,1011.692537,1212.553944,1413.415351,269.5909586,317.04960248261244,0.2882844527673558,539.1819172000002
dose_tolerance,3.0,0.10000000000000002,1.6996749443881478e-17,0.1,0.1,0.1,0.1,0.1,0.0,1.9233632618876244e-17,1.923363261887624e-16,0.0
dt,3.0,0.10000000000000002,1.6996749443881478e-17,0.1,0.1,0.1,0.1,0.1,0.0,1.9233632618876244e-17,1.923363261887624e-16,0.0
field_strength,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
r_CL,3.0,0.13997841125881594,0.5540324230867796,-0.35033342184594185,-0.16053749657388144,0.029258428698178976,0.38513432781119483,0.7410102269242107,0.5456718243850762,0.6269467064735084,4.478881427753187,1.0913436487701524
r_kbh,3.0,2.3817594629866154,3.097411389778424,-2.7161920180344607e-05,0.6309690621766834,1.261965286273547,3.5726527754400133,5.883340264606479,2.94168371326333,3.505050947371988,1.4716225554434526,5.88336742652666
r_khe,3.0,0.06376875866237254,0.47423056124872864,-0.36059622596777147,-0.19218108341743398,-0.023765940867096522,0.27595125097744455,0.5756684428219856,0.46813233439487856,0.5366423987020056,8.415443705644178,0.9362646687897571
rate,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ve,3.0,0.21840591627358416,0.0737943087625887,0.15633908053776346,0.1776088744103771,0.19887866828299072,0.24943933414149447,0.2999999999999982,0.07183045973111737,0.08350612149633617,0.38234367878447484,0.14366091946223475
vh,3.0,0.6028983340480288,0.134171470477434,0.4545454545454578,0.5464739379245556,0.6384024213036532,0.6770747737993144,0.7157471262949755,0.1306008358747588,0.15182931181152032,0.2518323625014779,0.2612016717495177
weight,3.0,80.0,11.135528725660043,70.0,74.0,78.0,85.0,92.0,11.0,12.601036994364128,0.1575129624295516,22.0
